profit,datetime,kraken,gdax,quantity
8.68,2017-12-02 03:11:04.082224,83.060000,84.510000,759.168400
8.68,2017-12-02 03:11:11.615789,83.060000,84.510000,759.168400
8.68,2017-12-02 03:11:18.168319,83.060000,84.510000,759.168400
8.68,2017-12-02 03:11:24.593790,83.060000,84.510000,759.168400
8.04,2017-12-02 03:11:30.852836,83.060000,84.440000,759.168400
8.04,2017-12-02 03:11:37.229403,83.060000,84.440000,759.168400
8.04,2017-12-02 03:11:45.721315,83.060000,84.440000,759.168400
8.04,2017-12-02 03:11:52.471120,83.060000,84.440000,759.168400
12.43,2017-12-02 03:11:59.903610,82.580000,84.440000,754.781200
12.43,2017-12-02 03:12:07.232401,82.580000,84.440000,754.781200
12.43,2017-12-02 03:12:13.632939,82.580000,84.440000,754.781200
12.43,2017-12-02 03:12:21.165451,82.580000,84.440000,754.781200
12.52,2017-12-02 03:12:27.779023,82.580000,84.450000,754.781200
12.52,2017-12-02 03:12:34.623593,82.580000,84.450000,754.781200
12.52,2017-12-02 03:12:41.737089,82.580000,84.450000,754.781200
12.52,2017-12-02 03:12:55.142373,82.580000,84.450000,754.781200
12.52,2017-12-02 03:13:02.116385,82.580000,84.450000,754.781200
12.52,2017-12-02 03:13:08.990817,82.580000,84.450000,754.781200
12.15,2017-12-02 03:13:15.773562,82.620000,84.450000,755.146800
12.15,2017-12-02 03:13:22.657530,82.620000,84.450000,755.146800
12.15,2017-12-02 03:13:29.056446,82.620000,84.450000,755.146800
12.15,2017-12-02 03:13:51.091793,82.620000,84.450000,755.146800
12.15,2017-12-02 03:13:57.486039,82.620000,84.450000,755.146800
12.15,2017-12-02 03:14:04.134696,82.620000,84.450000,755.146800
12.15,2017-12-02 03:14:10.899426,82.620000,84.450000,755.146800
12.15,2017-12-02 03:14:17.145955,82.620000,84.450000,755.146800
12.15,2017-12-02 03:14:24.279799,82.620000,84.450000,755.146800
12.15,2017-12-02 03:14:38.436172,82.620000,84.450000,755.146800
12.15,2017-12-02 03:14:59.840122,82.620000,84.450000,755.146800
12.15,2017-12-02 03:15:06.174790,82.620000,84.450000,755.146800
12.15,2017-12-02 03:15:12.891780,82.620000,84.450000,755.146800
12.15,2017-12-02 03:15:20.674918,82.620000,84.450000,755.146800
12.15,2017-12-02 03:15:27.426588,82.620000,84.450000,755.146800
12.15,2017-12-02 03:15:35.514165,82.620000,84.450000,755.146800
12.15,2017-12-02 03:15:42.181668,82.620000,84.450000,755.146800
12.15,2017-12-02 03:15:48.238792,82.620000,84.450000,755.146800
12.15,2017-12-02 03:16:10.827610,82.620000,84.450000,755.146800
12.15,2017-12-02 03:16:17.514822,82.620000,84.450000,755.146800
12.15,2017-12-02 03:16:28.885837,82.620000,84.450000,755.146800
12.15,2017-12-02 03:16:35.531448,82.620000,84.450000,755.146800
12.15,2017-12-02 03:16:47.474930,82.620000,84.450000,755.146800
12.15,2017-12-02 03:16:53.890179,82.620000,84.450000,755.146800
12.15,2017-12-02 03:17:01.633768,82.620000,84.450000,755.146800
12.15,2017-12-02 03:17:11.798865,82.620000,84.450000,755.146800
12.15,2017-12-02 03:17:18.503601,82.620000,84.450000,755.146800
12.15,2017-12-02 03:17:25.207901,82.620000,84.450000,755.146800
12.15,2017-12-02 03:17:40.049113,82.620000,84.450000,755.146800
12.15,2017-12-02 03:17:47.570906,82.620000,84.450000,755.146800
12.15,2017-12-02 03:17:54.313271,82.620000,84.450000,755.146800
12.15,2017-12-02 03:18:01.003625,82.620000,84.450000,755.146800
12.15,2017-12-02 03:18:07.777468,82.620000,84.450000,755.146800
14.24,2017-12-02 03:18:13.795509,82.620000,84.680000,755.146800
15.43,2017-12-02 03:18:20.420436,82.620000,84.810000,755.146800
15.43,2017-12-02 03:18:30.725445,82.620000,84.810000,755.146800
15.43,2017-12-02 03:18:37.564463,82.620000,84.810000,755.146800
15.52,2017-12-02 03:18:52.101578,82.610000,84.810000,755.055400
15.52,2017-12-02 03:18:59.784222,82.610000,84.810000,755.055400
15.52,2017-12-02 03:19:06.769416,82.610000,84.810000,755.055400
15.52,2017-12-02 03:19:13.392837,82.610000,84.810000,755.055400
15.52,2017-12-02 03:19:20.089957,82.610000,84.810000,755.055400
15.43,2017-12-02 03:19:29.002941,82.620000,84.810000,755.146800
15.43,2017-12-02 03:19:36.603703,82.620000,84.810000,755.146800
15.43,2017-12-02 03:19:44.276558,82.620000,84.810000,755.146800
16.06,2017-12-02 03:19:50.927059,82.550000,84.810000,754.507000
16.06,2017-12-02 03:19:57.750557,82.550000,84.810000,754.507000
16.06,2017-12-02 03:20:04.812972,82.550000,84.810000,754.507000
16.06,2017-12-02 03:20:14.809518,82.550000,84.810000,754.507000
16.06,2017-12-02 03:20:21.518155,82.550000,84.810000,754.507000
16.06,2017-12-02 03:20:28.211957,82.550000,84.810000,754.507000
16.06,2017-12-02 03:20:35.668422,82.550000,84.810000,754.507000
16.06,2017-12-02 03:20:42.187328,82.550000,84.810000,754.507000
16.06,2017-12-02 03:20:48.810115,82.550000,84.810000,754.507000
16.43,2017-12-02 03:20:55.227086,82.510000,84.810000,754.141400
16.43,2017-12-02 03:21:02.531988,82.510000,84.810000,754.141400
16.43,2017-12-02 03:21:08.958410,82.510000,84.810000,754.141400
16.43,2017-12-02 03:21:15.298701,82.510000,84.810000,754.141400
16.43,2017-12-02 03:21:21.668849,82.510000,84.810000,754.141400
